Frame,Contour ID,Length
1,10563,0.181
1,10572,0.546
1,10574,0.565
1,10575,0.192
1,10577,0.217
1,10579,0.253
1,10584,0.318
1,10587,0.245
1,10591,0.380
1,10593,0.364
1,10600,0.519
1,10603,0.327
1,10609,0.258
1,10621,0.397
1,10627,0.373
1,10630,0.410
1,10632,0.131
1,10636,0.345
1,10640,0.371
1,10642,0.191
1,10650,0.568
1,10654,0.258
1,10655,0.109
1,10662,0.230
1,10667,0.209
1,10669,0.245
1,10672,0.311
1,10676,0.298
1,10678,0.318
1,10681,0.069
1,10685,0.238
1,10689,0.120
1,10700,0.348
1,10701,0.273
1,10704,0.187
1,10707,0.111
1,10710,0.353
1,10713,0.492
1,10717,0.227
1,10721,0.280
1,10725,0.165
1,10727,0.193
1,10730,0.267
1,10735,0.804
1,10737,0.297
1,10742,0.236
1,10744,0.186
1,10760,0.265
1,10765,0.224
1,10766,0.357
1,10775,0.223
1,10779,0.395
1,10782,0.151
1,10785,0.239
1,10790,0.559
1,10794,0.250
1,10795,0.203
1,10796,0.132
1,10800,0.797
1,10812,2.762
1,10815,0.398
1,10816,0.355
1,10818,0.198
1,10822,0.256
1,10825,0.212
1,10829,0.456
1,10832,0.411
1,10835,0.285
1,10838,0.184
1,10839,0.276
1,10842,0.180
1,10844,0.341
1,10846,0.301
1,10847,0.532
1,10848,0.288
1,10849,0.196
1,10851,0.418
1,10853,0.514
1,10856,0.320
1,10859,0.107
1,10862,0.447
1,10865,0.249
1,10869,0.233
1,10870,0.150
1,10872,0.420
1,10876,0.185
1,10878,0.111
1,10879,0.224
1,10883,0.344
1,10885,0.120
1,10888,0.481
1,10890,0.306
1,10893,0.383
1,10894,0.274
1,10895,0.265
1,10898,0.386
1,10901,0.273
1,10907,0.645
1,10909,0.440
1,10912,0.470
1,10914,0.321
1,10916,0.207
1,10919,0.475
1,10923,0.249
1,10925,0.376
1,10927,0.170
1,10929,0.194
1,10937,2.288
1,10938,0.125
1,10939,0.456
1,10942,0.272
1,10943,0.138
1,10945,0.394
1,10947,0.206
1,10948,0.255
1,10952,1.936
1,10956,0.456
1,10959,0.299
1,10962,0.062
1,10964,0.307
1,10965,0.262
1,10967,0.260
1,10968,0.391
1,10970,0.382
1,10972,0.305
1,10975,0.189
1,10977,0.383
1,10979,0.365
1,10982,0.422
1,10985,0.278
1,10991,0.368
1,10995,0.198
1,10997,0.464
1,11001,0.258
1,11002,0.214
1,11004,0.248
1,11019,5.579
1,11020,0.378
1,11027,0.470
1,11028,0.192
1,11031,0.335
1,11032,0.251
1,11037,1.207
1,11042,0.262
1,11046,0.360
1,11051,0.767
1,11055,0.459
1,11057,0.331
1,11059,0.193
1,11061,0.115
1,11063,0.397
1,11067,0.255
1,11072,0.209
1,11074,0.422
1,11077,0.306
1,11085,2.676
1,11092,1.677
1,11095,0.085
1,11098,0.394
1,11102,0.279
1,11105,0.528
1,11109,0.254
1,11115,0.227
1,11118,0.152
1,11122,0.284
1,11128,0.185
1,11130,0.427
1,11133,0.369
1,11135,0.298
1,11136,0.272
1,11140,0.118
1,11144,1.053
1,11147,0.325
1,11152,1.021
1,11153,0.404
1,11159,0.381
1,11162,0.383
1,11169,1.172
1,11170,0.469
1,11171,0.504
1,11177,1.184
1,11181,0.183
1,11183,0.244
1,11187,0.261
1,11189,0.120
1,11190,0.109
1,11191,0.382
1,11192,0.366
1,11194,0.222
1,11196,0.206
1,11198,0.301
1,11199,0.173
1,11200,0.525
1,11202,0.437
1,11205,0.108
1,11208,0.226
1,11210,0.542
1,11213,0.085
1,11215,0.453
1,11217,0.332
1,11219,0.314
1,11222,0.572
1,11224,0.119
1,11227,0.030
1,11230,0.130
1,11232,0.437
1,11234,0.309
1,11241,0.275
1,11244,0.347
1,11246,0.346
1,11250,0.228
1,11252,0.260
1,11255,0.178
1,11256,0.205
1,11257,0.109
1,11258,0.292
1,11259,0.200
1,11262,0.223
1,11268,0.117
1,11272,0.501
1,11273,0.460
1,11274,0.225
1,11276,0.311
1,11279,0.123
1,11283,0.292
1,11284,0.061
1,11287,0.307
1,11290,0.367
1,11293,0.106
1,11300,1.101
1,11302,0.182
1,11304,0.233
1,11305,0.431
1,11308,0.252
1,11310,0.116
1,11318,0.265
1,11320,0.229
1,11322,0.233
1,11323,0.188
1,11328,0.227
1,11333,0.241
1,11337,0.128
1,11342,0.378
1,11345,0.150
1,11346,0.240
1,11349,0.231
1,11351,0.259
1,11355,1.984
1,11358,0.281
1,11366,4.545
1,11369,0.192
1,11371,0.333
1,11373,0.818
1,11376,0.125
1,11379,0.657
1,11381,0.298
1,11383,0.125
1,11385,0.277
1,11386,0.175
1,11389,0.246
1,11391,0.322
1,11392,0.199
1,11395,0.334
1,11401,0.338
1,11403,0.243
1,12667,0.207
1,12668,0.084
1,12669,8.147
1,12671,8.858
1,12673,0.106
1,12674,0.100
1,12675,0.080
1,12676,1.947
1,12677,0.150
1,12678,3.858
1,12679,2.150
1,12680,2.902
1,12682,0.212
1,12683,0.416
1,12684,5.734
1,12686,12.888
1,12687,0.216
1,12688,0.102
1,12689,14.346
1,12690,1.839
1,12691,6.136
1,12692,0.244
1,12693,1.330
1,12694,1.414
1,12695,6.139
1,12696,2.862
1,12697,0.965
1,12698,12.312
1,12700,6.508
1,12701,6.256
1,12702,5.705
1,12703,0.222
1,12705,0.109
1,12706,0.109
1,12707,1.372
1,12708,6.215
1,12709,1.873
1,12710,5.367
1,12711,6.947
1,12712,2.276
1,12713,4.418
1,12714,0.517
1,12715,1.218
1,12716,0.078
1,12717,0.101
1,12718,0.092
1,12720,0.218
1,12721,3.030
1,12722,4.944
1,12723,0.239
1,12724,2.183
1,12725,6.074
1,12726,1.970
1,12727,7.483
1,12728,4.111
1,12729,4.388
1,12730,0.117
1,12731,7.139
1,12732,0.903
1,12733,3.566
1,12734,0.701
1,12735,1.519
1,12736,1.526
1,12737,10.937
1,12738,6.423
1,12739,2.015
1,12740,0.108
1,12742,0.108
1,12743,0.136
1,12744,2.345
1,12745,6.160
1,12746,1.661
1,12747,2.494
1,12748,8.528
1,12750,1.757
1,12751,8.993
1,12753,0.232
1,12754,4.874
1,12756,8.562
1,12758,0.111
1,12759,0.105
1,12760,0.255
1,12761,1.308
1,12762,3.132
1,12763,6.077
1,12764,6.679
1,12765,6.383
1,12766,8.502
1,12767,6.791
1,12768,2.071
1,12769,0.108
1,12771,1.345
1,12772,0.776
1,12773,0.551
1,12774,2.625
1,12775,1.521
1,12776,0.304
1,12777,5.844
1,12778,3.575
1,12779,1.363
1,12780,2.339
1,12781,4.970
1,12782,0.440
1,12783,0.643
1,12785,3.277
1,12786,5.561
1,12787,4.021
1,12788,9.710
1,12789,0.490
1,12790,0.120
1,12791,8.865
1,12792,0.095
1,12793,0.085
1,12795,0.187
1,12796,3.557
1,12797,2.705
1,12798,10.090
1,12800,0.113
